               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  37,            0.043931,            0.076741,             0.07718,            0.025795,             0.40034,            0.027699,            0.019015,            0.036094,            0.048778,             0.07692,            0.006436,            0.006436,            0.006436
                  38,            0.042115,            0.072419,            0.077092,            0.027192,             0.40395,            0.028335,            0.018364,            0.040215,            0.050557,            0.076913,            0.006337,            0.006337,            0.006337
                  39,            0.043527,            0.074179,            0.077058,            0.027849,             0.40683,            0.028842,            0.019478,            0.037739,            0.049355,            0.076905,            0.006238,            0.006238,            0.006238
                  40,            0.043637,            0.071563,            0.077273,            0.028034,             0.40738,            0.029116,             0.01914,             0.03694,             0.04856,             0.07691,            0.006139,            0.006139,            0.006139
                  41,            0.041268,            0.070662,            0.077138,            0.027337,              0.4081,            0.028726,              0.0207,            0.036678,            0.048482,            0.076845,             0.00604,             0.00604,             0.00604
                  42,            0.041028,            0.068007,            0.077375,            0.025927,             0.40384,            0.028141,            0.019039,            0.037004,             0.04857,            0.076818,            0.005941,            0.005941,            0.005941
                  43,            0.041565,            0.066585,            0.077001,            0.025322,             0.39744,              0.0276,            0.018316,            0.037198,            0.048768,            0.076824,            0.005842,            0.005842,            0.005842
                  44,            0.041136,            0.068317,            0.077448,            0.027925,             0.40809,            0.028923,            0.019243,            0.036122,            0.048054,            0.076807,            0.005743,            0.005743,            0.005743
                  45,            0.040336,            0.070141,            0.077151,            0.026028,             0.40618,            0.028028,            0.019756,             0.03549,            0.048054,            0.076778,            0.005644,            0.005644,            0.005644
                  46,            0.041574,            0.070947,            0.076942,            0.027911,             0.40893,            0.029552,            0.019489,            0.037071,            0.048375,            0.076774,            0.005545,            0.005545,            0.005545
                  47,            0.040764,            0.071277,            0.077133,            0.025839,             0.40626,            0.027954,            0.020032,            0.034249,            0.046883,            0.076776,            0.005446,            0.005446,            0.005446
                  48,            0.041463,            0.070336,            0.076872,            0.027849,              0.4083,            0.029177,            0.021339,            0.034714,             0.04741,            0.076754,            0.005347,            0.005347,            0.005347
                  49,            0.040703,            0.068458,            0.077031,            0.026411,             0.40783,            0.028539,            0.020609,            0.034374,            0.046909,            0.076709,            0.005248,            0.005248,            0.005248
                  50,            0.039524,            0.066049,            0.077002,            0.026296,             0.40893,            0.029047,            0.019849,            0.035993,            0.047807,            0.076703,            0.005149,            0.005149,            0.005149
                  51,            0.040886,            0.069806,            0.077069,            0.026497,              0.4097,            0.028718,            0.020687,            0.034364,            0.046798,             0.07667,             0.00505,             0.00505,             0.00505
                  52,            0.038661,            0.067262,            0.077077,            0.026459,             0.40891,            0.028423,            0.021076,            0.034072,            0.046321,            0.076665,            0.004951,            0.004951,            0.004951
                  53,            0.040467,              0.0676,            0.077079,              0.0262,             0.40808,            0.028274,            0.019185,            0.035317,            0.047307,            0.076681,            0.004852,            0.004852,            0.004852
                  54,            0.038581,            0.070467,            0.077083,             0.02648,             0.41183,            0.028538,            0.021174,            0.034086,            0.047347,            0.076651,            0.004753,            0.004753,            0.004753
                  55,            0.039501,            0.068622,            0.076921,            0.026481,             0.41066,            0.028535,            0.021006,            0.034178,            0.046164,            0.076653,            0.004654,            0.004654,            0.004654
                  56,            0.038564,            0.069663,            0.076871,            0.026808,             0.41084,             0.02837,            0.020078,            0.034508,            0.046427,            0.076637,            0.004555,            0.004555,            0.004555
                  57,            0.039062,             0.07064,            0.076857,            0.026064,             0.40856,            0.028263,             0.02075,             0.03497,            0.046201,            0.076634,            0.004456,            0.004456,            0.004456
                  58,            0.038955,            0.066678,            0.076873,            0.026057,              0.4099,            0.028214,            0.020654,            0.036077,            0.046741,            0.076593,            0.004357,            0.004357,            0.004357
                  59,            0.038869,            0.066685,            0.076838,             0.02644,             0.40964,            0.028434,            0.021571,            0.032463,            0.045346,            0.076588,            0.004258,            0.004258,            0.004258
                  60,            0.037546,            0.069955,            0.076866,            0.026545,             0.41281,            0.028552,            0.020799,            0.033196,            0.045823,            0.076603,            0.004159,            0.004159,            0.004159
                  61,            0.037616,            0.068281,            0.076926,            0.026686,             0.41034,            0.028353,            0.021195,            0.032727,            0.045055,            0.076568,             0.00406,             0.00406,             0.00406
                  62,            0.037579,            0.065893,            0.076913,            0.026817,              0.4126,            0.028697,            0.021305,            0.033037,            0.045243,            0.076571,            0.003961,            0.003961,            0.003961
                  63,            0.037983,            0.069856,            0.076939,            0.026844,             0.41126,            0.028377,            0.021808,             0.03185,            0.044372,            0.076568,            0.003862,            0.003862,            0.003862
                  64,            0.036453,             0.06561,            0.076674,            0.026656,             0.41066,            0.028322,            0.021513,            0.032273,            0.044601,            0.076546,            0.003763,            0.003763,            0.003763
                  65,            0.037371,            0.065596,            0.076687,             0.02647,             0.40758,            0.028006,            0.020777,            0.033343,            0.045455,            0.076544,            0.003664,            0.003664,            0.003664
                  66,            0.036515,            0.066051,            0.076813,            0.026833,             0.41233,            0.028627,            0.021092,            0.033522,            0.045206,             0.07653,            0.003565,            0.003565,            0.003565
                  67,            0.036557,            0.063243,             0.07674,            0.026843,              0.4137,            0.028617,            0.021871,            0.032043,            0.044168,            0.076511,            0.003466,            0.003466,            0.003466
                  68,             0.03591,            0.064797,            0.076666,            0.027011,             0.41381,            0.028669,            0.021292,            0.032569,            0.044676,            0.076498,            0.003367,            0.003367,            0.003367
                  69,            0.036719,            0.063271,            0.076556,            0.026245,             0.41096,            0.028212,            0.021688,            0.032104,              0.0442,            0.076507,            0.003268,            0.003268,            0.003268
                  70,            0.036819,            0.065456,            0.076596,            0.026166,             0.40913,            0.028232,            0.021837,            0.031738,            0.043643,            0.076492,            0.003169,            0.003169,            0.003169
